list-dl-m,12,8,1,288,1498322,5202
list-dl-s,12,8,1,288,1321046,4586
list-i-m,12,16,1,576,1046476,1816
list-i-s,12,16,1,576,736420,1278
list-d-m,12,16,1,576,952847,1654
list-d-s,12,16,1,576,543184,943
list-il-m,12,16,1,576,4732694,8216
list-il-s,12,16,1,576,5630205,9774
list-dl-none,12,16,1,576,994812,1727
list-dl-m,12,16,1,576,2665093,4626
list-dl-s,12,16,1,576,8039087,13956
list-i-m,12,32,1,1152,1861704,1616
list-i-s,12,32,1,1152,2837144,2462
list-d-m,12,32,1,1152,1829514,1588
list-d-s,12,32,1,1152,2481087,2153
list-il-m,12,32,1,1152,18774338,16297
list-il-s,12,32,1,1152,25264698,21931
list-dl-m,12,32,1,1152,10924026,9482
list-dl-s,12,32,1,1152,27681748,24029
list-none-m,1,1000,1,3000,4354893,1451
list-none-s,1,1000,1,3000,4368882,1456
list-none-m,2,1000,1,6000,15962238,2660
list-none-s,2,1000,1,6000,39957776,6659
list-none-m,4,1000,1,12000,50499269,4208
list-none-s,4,1000,1,12000,325363837,27113
list-none-m,8,1000,1,24000,258928485,10788
list-none-s,8,1000,1,24000,898108874,37421
list-none-m,12,1000,1,36000,570047412,15834
list-none-s,12,1000,1,36000,4112140178,114226
list-none-m,16,1000,1,48000,1072881352,22351
list-none-s,16,1000,1,48000,6162095702,128376
list-none-m,24,1000,1,72000,2770419498,38478
list-none-s,24,1000,1,72000,55652704343,772954
